n,t,observable,mean,std,median,q25,q75,n_realizations
7,124,autocorrelation,0.2626314893,0.0827014719,0.2482645213,0.2188626831,0.2923006794,30
7,126,autocorrelation,0.2606218826,0.08231282606,0.2400587365,0.207453142,0.2771840179,30
7,128,autocorrelation,0.2560321491,0.08135863685,0.2504250801,0.2035981534,0.2812091261,30
7,130,autocorrelation,0.2518554885,0.07792837729,0.2406150314,0.2026843619,0.2777245566,30
7,132,autocorrelation,0.2520101882,0.07586257172,0.2444348233,0.1951213231,0.2768143019,30
7,134,autocorrelation,0.2512183759,0.07583459048,0.2473385352,0.1936533184,0.2809385502,30
7,136,autocorrelation,0.253417597,0.07397709584,0.2380100584,0.2066996317,0.2825142334,30
7,138,autocorrelation,0.2527607263,0.07481297568,0.2352102963,0.200054997,0.2721274974,30
7,140,autocorrelation,0.2555290511,0.07869589058,0.2341498024,0.2158084794,0.2700344602,30
7,142,autocorrelation,0.2584453303,0.08609789857,0.2322227785,0.2059869845,0.2816738255,30
7,144,autocorrelation,0.2633946321,0.08589713463,0.2392030057,0.2098111725,0.2821667192,30
7,146,autocorrelation,0.2632929365,0.08921026347,0.2418116473,0.1950764169,0.3011370702,30
7,148,autocorrelation,0.2615827927,0.09077219851,0.2393502048,0.2109069,0.2836577261,30
7,150,autocorrelation,0.2651093766,0.09275574971,0.2408205033,0.1984028522,0.286295598,30
7,152,autocorrelation,0.26203662,0.09391927579,0.2239926284,0.2056564601,0.3045918452,30
7,154,autocorrelation,0.2598332258,0.09522201074,0.2272726655,0.1992015769,0.2998326198,30
7,156,autocorrelation,0.2590968161,0.1001115085,0.2191003144,0.2002843122,0.2934744093,30
7,158,autocorrelation,0.2644155281,0.1024567042,0.2298963186,0.2000142325,0.3014707914,30
7,160,autocorrelation,0.2663584296,0.1046147264,0.2362055282,0.1890415413,0.2960924402,30
7,162,autocorrelation,0.264018913,0.1019234659,0.24417741,0.1978394831,0.2902557986,30
7,164,autocorrelation,0.2650719134,0.09692726083,0.2444541139,0.2095963142,0.2822884704,30
7,166,autocorrelation,0.2619899177,0.09332932883,0.2439635616,0.21991141,0.2722938879,30
7,168,autocorrelation,0.2655700039,0.09363747698,0.2475473534,0.2197278891,0.2838171546,30
7,170,autocorrelation,0.2625410568,0.09467223221,0.2405314203,0.2162790385,0.2683756259,30
7,172,autocorrelation,0.2653216876,0.09558784586,0.2414646029,0.2024932987,0.2771949416,30
7,174,autocorrelation,0.2662504841,0.09561343179,0.250168613,0.2097866803,0.2859930918,30
7,176,autocorrelation,0.2658330192,0.09195231611,0.2380594571,0.2130888368,0.2912047737,30
7,178,autocorrelation,0.2596026297,0.09164975475,0.2346371609,0.2113644057,0.2660929369,30
7,180,autocorrelation,0.2611627204,0.09038197798,0.2353034917,0.2037019981,0.2819441168,30
7,182,autocorrelation,0.2597917515,0.08573351297,0.2351692261,0.2042212629,0.2674539622,30
7,184,autocorrelation,0.2609872681,0.08902258379,0.2453137289,0.1943227034,0.2906913626,30
7,186,autocorrelation,0.259616067,0.08714733333,0.2414131273,0.2098367006,0.2711780497,30
7,188,autocorrelation,0.2599859544,0.08971429712,0.2472310484,0.1982898077,0.2746216111,30
7,190,autocorrelation,0.2619492207,0.09228954912,0.247135703,0.2062651421,0.2827673015,30
7,192,autocorrelation,0.2566632831,0.0880239503,0.2319888861,0.2053507612,0.2852481001,30
7,194,autocorrelation,0.2514350227,0.09443203906,0.225308403,0.1882113984,0.2850707003,30
7,196,autocorrelation,0.2582971051,0.09091405983,0.2268018312,0.1989283497,0.2897596816,30
7,198,autocorrelation,0.2619199627,0.08931560168,0.2374743192,0.2173478642,0.287234017,30
7,200,autocorrelation,0.2608291221,0.0894514515,0.2529954299,0.1965161877,0.2840809084,30
7,202,autocorrelation,0.2637330247,0.08853669896,0.2462752885,0.2074999649,0.2948073451,30
7,204,autocorrelation,0.2628231951,0.09005211683,0.2468734619,0.2006809791,0.30319113,30
7,206,autocorrelation,0.2636403908,0.08795398189,0.2464787066,0.2065787355,0.289448436,30
7,208,autocorrelation,0.2628269132,0.09117222826,0.2457608833,0.1993171555,0.2887496224,30
7,210,autocorrelation,0.2639711029,0.09143914154,0.235021213,0.2124825303,0.2981556902,30
7,212,autocorrelation,0.255787769,0.09591836067,0.2269251128,0.1971109444,0.2922138497,30
7,214,autocorrelation,0.2615565508,0.09666151953,0.2335161225,0.195296264,0.2870780574,30
7,216,autocorrelation,0.2662782872,0.09459015367,0.2427111732,0.1988113747,0.2914497457,30
7,218,autocorrelation,0.2666225045,0.09756127005,0.2441287893,0.2010551253,0.2986808227,30
7,220,autocorrelation,0.2629815533,0.1010547201,0.2314537647,0.2029082968,0.29214655,30
7,222,autocorrelation,0.2636101978,0.09730239883,0.2361793926,0.2077713059,0.2798398246,30
7,224,autocorrelation,0.2701688236,0.09490697297,0.2409977676,0.215174477,0.2865481644,30
7,226,autocorrelation,0.2649420305,0.09764452302,0.2342016593,0.1962970132,0.3018719731,30
7,228,autocorrelation,0.2675208754,0.09433108371,0.2410180898,0.2027179022,0.3022795049,30
7,230,autocorrelation,0.2681137285,0.09057756846,0.2513859034,0.21482156,0.2767289842,30
7,232,autocorrelation,0.2560052211,0.09276405748,0.2341602152,0.2031246772,0.2729075558,30
7,234,autocorrelation,0.2580082822,0.09055112244,0.2332971483,0.2024286961,0.2691658986,30
7,236,autocorrelation,0.2604162852,0.08932979106,0.2369943503,0.209718248,0.2862686301,30
7,238,autocorrelation,0.2601253852,0.08604758222,0.2331634518,0.2108356036,0.2859306161,30
7,240,autocorrelation,0.25933419,0.08534383827,0.2510952067,0.2112776214,0.2768444674,30
7,242,autocorrelation,0.2637595555,0.08406725694,0.248935216,0.2085709874,0.2894923692,30
7,244,autocorrelation,0.2640194448,0.08616982537,0.2465410232,0.2115336556,0.2914294847,30
7,246,autocorrelation,0.2559010989,0.08653261766,0.2313904838,0.1983267872,0.2804944874,30
7,248,autocorrelation,0.2577021718,0.08843999549,0.2358686544,0.200678541,0.288400537,30
7,250,autocorrelation,0.2580190237,0.08827700808,0.2324146406,0.2067489539,0.2803454985,30
7,252,autocorrelation,0.2667671513,0.08493520945,0.2498954655,0.2079743229,0.2928476873,30
7,254,autocorrelation,0.2569517069,0.0906919079,0.2391071527,0.1948175033,0.2851379397,30
7,256,autocorrelation,0.2585601232,0.087029643,0.23835223,0.2064400844,0.2839667102,30
7,258,autocorrelation,0.2551852486,0.08804758049,0.2293178431,0.1951267051,0.2845453602,30
